Water Control Zone,Station,Dates,Sample No,Depth,Chlorophyll-a (μg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Deep Bay,DM1,2016/8/3,1,Surface Water,4.8,3.7,0.012,25.3,0.29,3.83,3.1,2.53,27.5,29,8,1.5,4.8,4.7,7,0.19,0.26,0.47,17000,8600,5.9,76,1.8,1.6
Deep Bay,DM1,2016/9/1,1,Surface Water,4.1,3.4,0.007,28.5,0.43,2.22,1.4,1.55,29.6,25,8.4,1.4,15.3,3.4,7.1,0.24,0.25,0.57,1100,530,5.8,83,0.73,1.9
Deep Bay,DM1,2016/10/8,1,Surface Water,16,5.4,0.014,17.8,0.47,6.78,5.1,4.48,29.3,21,21,1.7,6.6,5.5,6.8,0.34,0.58,1.1,95000,58000,7,94,2.8,5
Deep Bay,DM1,2016/11/2,1,Surface Water,3.7,12,0.009,68.3,0.37,3.57,2.1,3.07,24.7,95,8.4,1.7,14.9,6.2,7,0.2,0.47,1,2300,1800,7,91,1.6,4.3
Deep Bay,DM1,2016/12/3,1,Surface Water,3.7,4.1,0.017,21.9,0.29,4.72,3,3.52,21,29,10,1,15.9,2.4,7.3,0.23,0.42,1.3,7800,3500,3.9,48,1.8,2.7
Deep Bay,DM1,2017/1/7,1,Surface Water,29,6.8,0.031,16.9,0.75,9.5,9,5.7,23.1,22,12,1,6.8,7.9,7.1,0.41,0.4,0.1,310000,240000,1.8,22,5.2,8
Deep Bay,DM1,2017/2/1,1,Surface Water,7.8,13,0.005,42.7,0.38,4.24,2.1,3.34,19.2,110,7.1,1.5,17.7,6.2,7,0.15,0.34,1.8,7800,4500,4.5,54,1.2,4.9
Deep Bay,DM1,2017/3/6,1,Surface Water,42,9.8,0.013,15.5,0.35,5.3,3.5,3.8,20.5,30,7.1,1.5,17.1,9.5,7.2,0.22,0.5,1.3,22000,9700,7.1,87,2,4.9
Deep Bay,DM1,2017/4/8,1,Surface Water,17,4,0.01,17.3,0.26,4.34,2.7,3.14,24,22,7,1.7,16.3,7.5,7.1,0.23,0.34,1.3,1500,1100,4,53,1.5,3.7
Deep Bay,DM1,2017/5/10,1,Surface Water,82,10,0.074,31,0.41,4.4,3.5,2.3,27.9,58,3.4,0.3,10.3,15,7.9,0.2,0.25,0.65,16000,10000,8.5,115,1.4,6.6
Deep Bay,DM1,2017/6/7,1,Surface Water,4.1,6.6,0.024,18,0.44,3.98,2.7,2.88,31.3,26,11,1,9,3.7,7.2,0.33,0.41,0.87,8000,3100,4.1,58,1.6,3.4
Deep Bay,DM1,2017/7/10,1,Surface Water,8.8,4.5,0.018,17.9,0.35,3.84,2.9,3.04,30.1,22,12,1,3.2,7.3,7,0.23,0.42,0.52,6000,2600,5,68,2.1,1.8
Deep Bay,DM1,2017/8/11,1,Surface Water,19,6.4,0.015,21,0.29,2.96,1.7,2.36,31.1,45,4.2,1.5,8.2,5.4,7.2,0.16,0.63,0.63,1400,780,4.6,65,1.1,4.8
Deep Bay,DM1,2017/9/8,1,Surface Water,1.3,4,0.007,19.2,0.41,2.76,1.7,2.36,29.6,36,9.8,1.5,8.7,3.6,6.8,0.22,0.5,0.56,8200,3000,2.3,31,1.3,3
Deep Bay,DM1,2017/10/6,1,Surface Water,5.6,3.2,0.01,16.2,0.32,2.54,1.4,2.02,30.2,24,7.8,1.5,13.4,3.4,7.2,0.27,0.46,0.68,1900,670,4.2,60,0.88,1.8
Deep Bay,DM1,2017/11/6,1,Surface Water,11,6.3,0.007,28,0.21,2.19,0.78,1.99,22.9,60,3.2,1.5,22.9,9.5,7.4,0.19,0.31,1.1,880,330,7.3,97,0.58,2
Deep Bay,DM1,2017/12/4,1,Surface Water,7.2,8,0.008,48.1,0.35,3.4,1.6,3.1,22.2,69,6,1,21.7,6.8,7.2,0.2,0.4,1.4,5800,3200,4.6,60,1.3,3.5
Deep Bay,DM1,2018/1/3,1,Surface Water,6.9,14,0.004,54.1,0.28,3.05,0.93,2.69,19.1,98,4.7,1.8,23.3,8.6,7.3,0.13,0.22,1.9,790,490,5.8,72,0.57,2.2
Deep Bay,DM1,2018/2/22,1,Surface Water,2.5,7,0.002,25.7,0.24,3.12,0.89,2.74,18.8,49,5.8,1.1,22,6.4,7,0.12,0.13,2.1,340,190,5.3,65,0.51,2.3
Deep Bay,DM1,2018/3/1,1,Surface Water,5.7,3.3,0.003,24.2,0.24,3.65,1.1,3.19,22.1,28,5.7,1,18.6,4.4,6.9,0.14,0.15,2.4,2500,1600,4.7,60,0.64,2.4
Deep Bay,DM1,2018/4/11,1,Surface Water,7.3,19,0.003,33.7,0.18,2.85,0.86,2.44,24.4,26,3.8,1,16.6,6.7,7.1,0.1,0.093,1.9,770,390,8.5,112,0.45,3.3
Deep Bay,DM1,2018/5/9,1,Surface Water,9,9,<0.001,29.9,0.36,5.52,4,1.54,26.7,34,5.5,1.5,7,4.4,6.9,0.19,0.32,1.2,600000,200000,1.5,20,0.016,4
Deep Bay,DM1,2018/6/15,1,Surface Water,4.6,3,0.008,14.9,0.26,2.96,1.8,2.46,28.9,21,9,1,8.3,3.7,6.9,0.24,0.59,0.57,7500,3500,3.1,42,1.3,1.9
Deep Bay,DM1,2018/7/4,1,Surface Water,3.7,9,0.026,43.5,0.34,4.8,2.7,4,29.6,59,18,1.2,3.2,7.8,7.2,0.32,1,1.1,17000,8700,4.1,55,1.9,4
Deep Bay,DM1,2018/8/1,1,Surface Water,2.2,4.3,0.005,22.1,0.33,2.57,0.83,2.14,31.6,28,11,1.5,10.5,3.1,7.1,0.21,0.95,0.79,360,210,3.4,49,0.4,2.4
Deep Bay,DM1,2018/9/10,1,Surface Water,2.6,3.4,0.01,13.4,0.21,3.21,1.6,2.61,28.8,22,11,1.2,9.1,3.5,7.1,0.099,0.61,1,1800,1100,4.3,58,1,1.9
Deep Bay,DM1,2018/10/8,1,Surface Water,5.6,5.7,0.009,12.9,0.23,3.42,1.4,2.48,28.7,28,9,1,15.7,4.4,7.5,0.16,0.42,1.6,980,480,3.5,50,0.46,2
Deep Bay,DM1,2018/11/7,1,Surface Water,1.9,5.9,0.006,12.8,0.2,2.33,0.59,2.17,25.8,29,5.7,1,21.5,2.5,7.5,0.16,0.14,1.6,110,49,4.8,66,0.43,0.8
Deep Bay,DM1,2018/12/8,1,Surface Water,1.6,6.1,0.004,38.2,0.3,3.18,1,2.65,20.8,57,8.6,1,18,3.8,7.4,0.22,0.18,2,880,440,4.8,60,0.47,1.6
