Water Control Zone,Station,Dates,Sample No,Depth,Chlorophyll-a (μg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Deep Bay,DM1,1992/9/16,1,Surface Water,0.5,3.5,0.054,45,0.64,5.51,2.76,4.6,30.8,36,7.22,0.4,14.3,8.8,7.6,0.054,0.682,2.07,3700,2800,2.7,40,1.85,1.5
Deep Bay,DM1,1992/10/12,1,Surface Water,8.5,4.5,0.042,30,0.54,3.56,3.2,2.82,20.4,38,4.8,0.3,23.4,5.7,7.7,0.209,0.097,0.258,500,500,5.5,70,2.46,1.9
Deep Bay,DM1,1992/11/11,1,Surface Water,<0.2,5.5,0.02,35,0.92,5.03,3.34,4.85,12.7,68,5.41,1.4,24.6,0.5,7.5,0.194,0.211,1.48,4000,4000,6.7,74,3.16,1.2
Deep Bay,DM1,1992/12/8,1,Surface Water,2.6,4.5,0.077,22,0.9,7.18,6.4,6.52,17.8,24,5.69,0.4,24.1,2,7.7,0.873,0.223,0.557,6000,4000,5.3,59,5.74,3.9
Deep Bay,DM1,1993/1/12,1,Surface Water,<0.2,9.5,0.013,37,0.79,7.41,3.66,5.1,20.3,94,4.41,1,26,1.9,7.5,0.439,0.002,3.75,1400,1300,7,87,1.35,2.8
Deep Bay,DM1,1993/2/25,1,Surface Water,0.4,3.5,0.001,28,0.79,5.64,0.77,4.91,16.1,30,4.09,0.5,25.8,<0.2,7.5,0.673,1.31,3.56,2300,2000,6.7,71,0.043,1.3
Deep Bay,DM1,1993/3/12,1,Surface Water,N/A,N/A,N/A,110,N/A,N/A,N/A,N/A,20.9,N/A,N/A,0.2,28.1,N/A,7.8,N/A,N/A,N/A,200,200,6,70,N/A,1.4
Deep Bay,DM1,1993/4/26,1,Surface Water,0.4,5,0.002,38,0.17,1.77,0.28,1.54,23.7,36,4.59,0.4,16.8,1.1,7.9,0.101,<0.002,1.49,390,310,6.6,87,0.045,1.2
Deep Bay,DM1,1993/5/10,1,Surface Water,0.4,3.5,0.001,37,0.36,3.6,0.57,3.03,26.1,30,7.07,0.5,10.5,0.7,7.5,0.207,0.449,2.58,24000,23000,3.6,50,<0.005,1.5
Deep Bay,DM1,1993/6/7,1,Surface Water,0.9,3,0.001,24,0.45,3.61,0.48,3.14,29.2,22,7.39,0.2,9.2,2.2,7.7,0.369,0.004,3.13,3600,3400,2.8,39,<0.005,1.2
Deep Bay,DM1,1993/7/21,1,Surface Water,1.4,1,0.001,32.2,0.25,2.14,0.42,1.74,29.3,5.5,0.2,0.5,10.1,6.1,6.7,0.243,0.195,1.52,490,490,2.8,42,0.025,1.9
Deep Bay,DM1,1993/8/31,1,Surface Water,9.7,1.5,0.097,10.1,0.23,2.82,0.82,2.66,29.5,18,0.11,0.5,15.6,8.1,8.4,0.217,0.67,1.33,1100,1000,7.6,113,0.658,3.7
Deep Bay,DM1,1993/9/29,1,Surface Water,2.3,6.9,0.008,20,0.22,5.42,0.98,5.02,27.3,41,8.74,0.4,3.3,3,7.3,0.114,1.56,2.88,14000,10000,1.5,19,0.581,1.3
Deep Bay,DM1,1993/10/15,1,Surface Water,63,5.9,0.154,40.7,0.38,5.24,4.9,2.86,26.6,29,3.2,0.5,16.9,18,8,0.233,0.129,0.213,170000,100000,6.5,89,2.52,4.2
Deep Bay,DM1,1993/11/15,1,Surface Water,8.7,2.9,0.03,6.4,0.4,5.26,4.68,3.68,23.9,20,6.21,0.5,18.4,4.4,7.3,0.3,0.139,0.445,12000,11000,4.5,60,3.1,1
Deep Bay,DM1,1993/12/13,1,Surface Water,2.7,3.5,0.057,14.4,1.09,7.27,7.04,5.23,19.9,26,6.4,0.4,22.9,1.8,7.5,0.498,0.073,0.159,59000,54000,3.7,46,5,2.4
Deep Bay,DM1,1994/1/26,1,Surface Water,1.1,3.7,0.052,16.3,0.77,6.93,6.57,5.15,15.6,29,5.4,0.5,23.4,3.1,7.7,0.503,0.122,0.235,4200,4000,3.9,45,4.79,3
Deep Bay,DM1,1994/2/23,1,Surface Water,0.3,4.8,0.046,14.4,0.53,4.73,4.14,3.56,18.2,40,3.64,0.3,25.7,3.2,7.7,0.378,0.13,0.464,5600,5300,6.1,75,2.97,1.9
Deep Bay,DM1,1994/3/16,1,Surface Water,0.5,9.6,0.026,19.2,0.58,4.73,3.75,4.22,16.2,64,4.16,0.5,26.3,0.9,7.5,0.391,0.236,0.739,1600,1500,5.9,70,3.24,0.8
Deep Bay,DM1,1994/4/14,1,Surface Water,2.7,4.1,0.041,8.5,0.39,3.73,3.11,2.94,21.9,18,1.43,0.5,21.8,2.9,7.7,0.434,0.163,0.452,540,440,5.5,71,2.32,1.1
Deep Bay,DM1,1994/5/12,1,Surface Water,0.9,7.2,0.042,14,0.49,2.98,2.16,2.23,28.8,43,4.23,0.3,20.4,9.8,7.7,0.391,0.159,0.659,120,110,3.6,52,1.41,2.1
Deep Bay,DM1,1994/6/15,1,Surface Water,2.8,17,0.031,70.7,0.48,2.97,1.6,2.05,28.8,85,7.78,0.2,7.9,3.3,7.8,0.166,0.292,1.08,780,760,4.9,66,0.674,1.5
Deep Bay,DM1,1994/7/13,1,Surface Water,0.2,4.7,0.036,43,0.45,4.31,3.25,2.99,29.9,40,9.91,0.5,6.4,6.9,7.4,0.288,0.52,0.541,5500,3900,5.2,72,1.93,1
Deep Bay,DM1,1994/8/11,1,Surface Water,4.9,8.6,0.013,37,0.28,3.29,2.75,2.47,28,71,9.08,0.2,0.9,3.6,7,0.093,0.124,0.417,17000,12000,N/A,N/A,1.93,1.6
Deep Bay,DM1,1994/9/22,1,Surface Water,3.8,7.3,0.11,22.8,0.32,3.3,2.83,3.17,28.7,33,6.58,0.4,6.8,3,7.8,0.27,0.178,0.295,1400,1400,7.4,95,2.7,1.4
Deep Bay,DM1,1994/10/7,1,Surface Water,11,4,0.047,32,0.25,2.93,2.56,2.23,27.4,33,3.49,0.4,19.3,5.1,7.6,0.201,0.11,0.259,800,700,3.5,49,1.86,1.1
Deep Bay,DM1,1994/11/21,1,Surface Water,1.3,3.9,0.151,22,0.65,9.17,8.75,8,23.5,29,4.87,0.6,20.1,2.3,7.7,0.611,0.19,0.23,5000,3300,2.6,35,7.58,0.9
Deep Bay,DM1,1994/12/19,1,Surface Water,0.2,1.6,0.045,12,0.5,4.72,4.16,4.33,18.8,11,5.28,1,22.1,1.1,7.6,0.426,0.17,0.393,1700,1500,5.3,58,3.77,0.8
Deep Bay,DM1,1995/1/19,1,Surface Water,0.7,8.2,0.057,13,0.62,6.61,6.2,5.41,17.9,38,4.8,0.4,24.7,0.5,7.6,0.53,0.13,0.28,18000,12000,3.5,41,5,1.3
Deep Bay,DM1,1995/2/17,1,Surface Water,1.1,8.8,0.056,31,0.57,6.31,6.1,3.01,16.3,57,1.3,0.5,25.1,5.7,7.9,0.44,0.084,0.13,2900,2200,6.1,68,2.8,1.5
Deep Bay,DM1,1995/3/20,1,Surface Water,1.7,11,0.031,45,0.5,6.46,5.8,4.66,17,64,4.3,0.4,22.3,2.4,7.5,0.48,0.23,0.43,5300,4900,5.1,59,4,2.3
Deep Bay,DM1,1995/4/19,1,Surface Water,1.7,3.2,0.046,27,0.64,4.89,4.3,3.89,26.4,28,5.7,0.5,18.4,1.1,7.4,0.59,0.17,0.42,900,900,3.2,39,3.3,1
Deep Bay,DM1,1995/5/18,1,Surface Water,4,11,0.039,26,0.47,3.49,3.1,3.19,25.2,43,3.6,0.5,15,0.8,7.4,0.4,0.1,0.29,1600,1100,2.7,36,2.8,1.1
Deep Bay,DM1,1995/6/15,1,Surface Water,5.3,9.6,0.077,70,0.7,5.04,4.6,4.74,28.6,80,12,0.2,10,7.5,7.4,0.48,0.19,0.25,38000,28000,2.8,39,4.3,2.9
Deep Bay,DM1,1995/7/17,1,Surface Water,1,3.6,0.04,27,0.32,4.92,4,2.72,28.9,29,8.7,0.5,6.6,1.9,7.5,0.23,0.28,0.64,9000,3000,1.9,27,1.8,1.5
Deep Bay,DM1,1995/8/18,1,Surface Water,14,4.4,0.055,21,0.57,5.3,4.9,4.5,28.6,20,14,0.4,3.5,2.7,7.3,0.43,0.12,0.28,210000,170000,0.5,7,4.1,2.8
Deep Bay,DM1,1995/9/11,1,Surface Water,12,6.8,0.095,39,0.51,5.62,4.9,4.42,31.3,60,9.8,0.2,6.9,2.7,7.5,0.43,0.38,0.34,7000,5200,1.5,23,3.7,1.8
Deep Bay,DM1,1995/10/12,1,Surface Water,2.4,9.2,0.055,50,0.37,4.73,4.1,2.83,25.3,87,6.9,0.5,14.6,2.8,7.7,0.22,0.23,0.4,11000,9000,4.9,65,2.2,1.1
Deep Bay,DM1,1995/11/9,1,Surface Water,1.9,2.9,0.041,28,0.63,5.88,5.6,5.08,22,24,6.3,0.5,19.7,1.7,7.3,0.47,0.097,0.18,14000,8000,3.1,39,4.8,1.8
Deep Bay,DM1,1995/12/11,1,Surface Water,<0.2,4.2,0.045,8.8,0.82,5.39,5,4.59,17,42,4.7,0.5,24.2,1,7.6,0.49,0.11,0.28,5800,4700,5.5,57,4.2,2.3
Deep Bay,DM1,1996/1/11,1,Surface Water,1.2,30,0.05,350,2.2,7.33,6.9,6.33,16.4,320,5.8,0.5,23.6,8.6,7.5,0.72,0.13,0.3,37000,28000,4.2,50,5.9,5.8
Deep Bay,DM1,1996/2/12,1,Surface Water,2.2,1.4,N/A,10,0.57,2.82,2.4,2.82,17.6,11,1.9,0.7,N/A,2.9,7.7,0.35,0.096,0.32,2000,1500,7.3,75,2.4,1.4
